"('ESPECIALLY', ['MIGHTY', 'PRETTY', 'REALLY', 'VERY'])","('DISNEY CHARACTERS', ['DAISY', 'GOOFY', 'HAPPY', 'LADY'])","('KINDS OF BLUE', ['BABY', 'NAVY', 'SKY', 'TIFFANY'])","('BODY PARTS PLUS ""Y""', ['ARMY', 'COLONY', 'LIVERY', 'SHINY'])"
"('EXITED', ['DEPARTED', 'LEFT', 'SPLIT', 'WENT'])","('ONE FLYING AN AIRPLANE', ['ACE', 'AVIATOR', 'FLIER', 'PILOT'])","('KINDS OF WHALES', ['BLUE', 'FIN', 'GRAY', 'RIGHT'])","('THINGS WITH SLOTS', ['ATM', 'CASINO', 'SCHEDULE', 'SPATULA'])"
"('UPDATE FOR ACCURACY', ['AMEND', 'CORRECT', 'FIX', 'REVISE'])","('QUARREL', ['FIGHT', 'ROW', 'SCRAP', 'TIFF'])","('GAMES OF CHANCE', ['BINGO', 'LOTTERY', 'ROULETTE', 'WAR'])","('___ CHIP', ['BLUE', 'COMPUTER', 'POKER', 'POTATO'])"
"('MUSICAL INSTRUMENTS', ['BASS', 'BASSOON', 'HARP', 'RECORDER'])","('PLANT GROWTHS', ['BLOOM', 'BUD', 'SHOOT', 'SPROUT'])","('BRING UP', ['FOSTER', 'NURSE', 'RAISE', 'REAR'])","('SOLAR EMANATIONS', ['CORONA', 'FLARE', 'LIGHT', 'RADIATION'])"
"('HOW FAST SOMETHING IS GOING', ['CLIP', 'PACE', 'RATE', 'SPEED'])","('""STEP ON IT!""', ['FASTER', 'GO', 'HURRY', 'MOVE'])","('N.B.A. TEAM PLAYER', ['CLIPPER', 'PACER', 'ROCKET', 'SPUR'])","('TELE___', ['COMMUTE', 'MEDICINE', 'PROMPTER', 'VISION'])"
"('YELLOW-BROWN SHADES', ['BEIGE', 'CAMEL', 'KHAKI', 'TAN'])","('FAIL TO ATTEND', ['CUT', 'DITCH', 'MISS', 'SKIPS'])","('DECISIVE VICTORY', ['BLOWOUT', 'ROMP', 'ROUT', 'SWEEP'])","('___ WHEEL', ['CHEESE', 'COLOR', 'HAMSTER', 'PRAYER'])"
"('KUDOS', ['CREDIT', 'GLORY', 'PRAISE', 'PROPS'])","('BECOME AWARE OF', ['DISCOVER', 'FIND', 'LEARN', 'REALIZE'])","('PURSUE', ['CHASE', 'TAIL', 'TRACK', 'SHADOW'])","('SEEN IN A PASSPORT', ['NAME', 'PHOTO', 'STAMP', 'VISA'])"
"('JUMPING ANIMALS', ['CRICKET', 'FROG', 'HARE', 'KANGAROO'])","('APPLY PRESSURE TO', ['CRUSH', 'MASH', 'PRESS', 'SQUASH'])","('OLYMPIC SPORTS', ['BREAKING', 'HOCKEY', 'SKELETON', 'TRAMPOLINE'])","('THINGS YOU CAN SET', ['MOOD', 'RECORD', 'TABLE', 'VOLLEYBALL'])"
"('CHAT, INFORMALLY', ['GAB', 'JAW', 'YAK', 'YAP'])","('FEMALE ANIMALS', ['COW', 'DOE', 'EWE', 'HEN'])","('PALINDROMES', ['BIB', 'EYE', 'GAG', 'POP'])","('STARTS OF PLANET NAMES', ['EAR', 'MAR', 'MER', 'SAT'])"
"('SEEN AT A SPORTS STADIUM', ['ASTROTURF', 'JUMBOTRON', 'SCOREBOARD', 'SKYBOX'])","('CAMERA BRANDS', ['FUJIFILM', 'HASSELBLAD', 'OLYMPUS', 'POLAROID'])","('ITALIAN DEMONYMS', ['BOLOGNESE', 'NEAPOLITAN', 'PARMESAN', 'VENETIAN'])","('STARTING WITH ROCK BANDS', ['CREAMSICLE', 'JOURNEYMAN', 'KISSCAM', 'RUSHMORE'])"
